Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Roberto Aguayo,FSU,157,0,0,0,0,0,0,0,0,0,0,94/94,21/22,0,0,Scoring
Andre Williams,BC,108,18,18,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Brad Craddock,MD,100,0,0,0,0,0,0,0,0,0,0,37/38,21/25,0,0,Scoring
Nate Freese,BC,100,0,0,0,0,0,0,0,0,0,0,40/41,20/20,0,0,Scoring
Chandler Catanzaro,CLEM,99,0,0,0,0,0,0,0,0,0,0,60/61,13/14,0,0,Scoring
Ross Martin,DUKE,97,0,0,0,0,0,0,0,0,0,0,58/58,13/19,0,0,Scoring
Matt Goudis,MIA,96,0,0,0,0,0,0,0,0,0,0,57/57,13/17,0,0,Scoring
Kelvin Benjamin,FSU,90,15,0,15,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Devonta Freeman,FSU,90,15,14,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Thomas Moore,UNC,90,0,0,0,0,0,0,0,0,0,0,46/48,14/19,1,0,Scoring
Niklas Sade,NCST,88,0,0,0,0,0,0,0,0,0,0,31/31,19/23,0,0,Scoring
Brandon Connette,DUKE,84,14,14,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Harrison Butker,GT,83,0,0,0,0,0,0,0,0,0,0,53/54,14-Oct,0,0,Scoring
Chris Blewitt,PITT,82,0,0,0,0,0,0,0,0,0,0,40/41,14/18,0,0,Scoring
Dallas Crawford,MIA,78,13,12,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Jerome Smith,SYR,78,13,12,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
C.J. Brown,MD,72,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Trey Edmunds,VT,72,12,10,2,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Kevin Parks,UVA,72,12,11,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
David Sims,GT,72,12,11,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Sammy Watkins,CLEM,72,12,0,12,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
